Dates,Times,CheckoutDur,title
2006-02-07,14:02:00,27,"time travelers wife a novel"
2006-02-07,16:17:00,27,"time travelers wife a novel"
2006-02-07,18:32:00,35,"time travelers wife"
2006-02-07,18:32:00,38,"time travelers wife"
2006-02-07,18:32:00,50,"time travelers wife"
2006-02-08,18:25:00,9,"time travelers wife"
2006-02-08,18:25:00,22,"time travelers wife"
2006-02-08,10:34:00,30,"time travelers wife"
2006-02-08,10:34:00,37,"time travelers wife"
2006-02-08,10:34:00,50,"time travelers wife"
2006-02-09,14:21:00,6,"time travelers wife a novel"
2006-02-09,17:37:00,8,"time travelers wife a novel"
2006-02-09,17:37:00,13,"time travelers wife a novel"
2006-02-09,14:21:00,14,"time travelers wife a novel"
2006-02-10,12:12:00,6,"time travelers wife a novel"
2006-02-10,13:09:00,27,"time travelers wife"
2006-02-11,14:23:00,10,"time travelers wife"
2006-02-11,12:27:00,13,"time travelers wife a novel"
2006-02-11,12:27:00,18,"time travelers wife a novel"
2006-02-12,15:56:00,9,"time travelers wife a novel"
2006-02-12,15:56:00,10,"time travelers wife a novel"
2006-02-13,19:59:00,3,"time travelers wife a novel"
2006-02-13,19:59:00,7,"time travelers wife a novel"
2006-02-13,14:50:00,8,"time travelers wife a novel"
2006-02-13,16:19:00,15,"time travelers wife a novel"
2006-02-13,16:19:00,29,"time travelers wife a novel"
2006-02-13,16:19:00,29,"time travelers wife a novel"
2006-02-14,17:27:00,0,"time travelers wife"
2006-02-14,17:27:00,2,"time travelers wife"
2006-02-15,13:28:00,3,"time travelers wife a novel"
2006-02-15,13:28:00,7,"time travelers wife a novel"
2006-02-16,15:18:00,0,"time travelers wife a novel"
2006-02-18,15:43:00,12,"time travelers wife a novel"
2006-02-18,15:43:00,13,"time travelers wife a novel"
2006-02-18,15:43:00,16,"time travelers wife a novel"
2006-02-19,14:33:00,19,"time travelers wife"
2006-02-21,19:53:00,12,"time travelers wife"
2006-02-21,19:53:00,14,"time travelers wife"
2006-02-21,16:19:00,20,"time travelers wife a novel"
2006-02-22,17:33:00,6,"time travelers wife a novel"
2006-02-22,18:16:00,12,"time travelers wife a novel"
2006-02-22,18:16:00,12,"time travelers wife a novel"
2006-02-22,18:16:00,13,"time travelers wife a novel"
2006-02-22,13:41:00,16,"time travelers wife a novel"
2006-02-22,13:41:00,18,"time travelers wife a novel"
2006-02-22,17:33:00,18,"time travelers wife a novel"
2006-02-22,16:00:00,22,"time travelers wife a novel"
2006-02-23,17:30:00,20,"time travelers wife a novel"
2006-02-23,16:46:00,25,"time travelers wife a novel"
2006-02-23,16:46:00,26,"time travelers wife a novel"
2006-02-23,19:51:00,34,"time travelers wife a novel"
2006-02-23,19:51:00,35,"time travelers wife a novel"
2006-02-23,16:46:00,41,"time travelers wife a novel"
2006-02-23,16:46:00,41,"time travelers wife a novel"
2006-02-24,16:07:00,10,"time travelers wife a novel"
2006-02-24,16:07:00,18,"time travelers wife a novel"
2006-02-24,11:38:00,22,"time travelers wife a novel"
2006-02-24,15:47:00,28,"time travelers wife a novel"
2006-02-24,15:47:00,32,"time travelers wife a novel"
2006-02-24,15:47:00,37,"time travelers wife a novel"
2006-02-24,13:36:00,63,"time travelers wife"
2006-02-24,13:36:00,67,"time travelers wife"
2006-02-24,13:36:00,101,"time travelers wife"
2006-02-25,15:28:00,10,"time travelers wife a novel"
2006-02-25,16:49:00,13,"time travelers wife a novel"
